Week_Start,Week_End,Solar,Wind,Geothermal,Biomass,Biogas,Small Hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,CAISO_Load_MWh,Solar_share,Wind_share,Geothermal_share,Biomass_share,Biogas_share,Small Hydro_share,Coal_share,Nuclear_share,Natural Gas_share,Large Hydro_share,Batteries_share,Imports_share,Other_share
2024-01-14 00:00:00+00:00,2024-01-20 00:00:00+00:00,439630.5833333333,300006.0,127601.0,41206.916666666664,31882.583333333332,34273.666666666664,0.0,380966.3333333333,2179030.083333333,311417.4166666666,-9403.25,50949.66666666666,0.0,3839397.7499999995,0.11481621785770832,0.07916926890493178,0.0333210414201017,0.010750948166823687,0.008325335377723671,0.008947849446002956,0.0,0.09938627565541285,0.5664601152607611,0.08119902540816167,-0.0026957463939407712,0.012932723495867469,0.0
2024-01-21 00:00:00+00:00,2024-01-27 00:00:00+00:00,448731.6666666666,302812.0,122505.5,43138.0,32523.666666666664,37205.58333333333,0.0,380084.99999999994,1852743.6666666665,292755.49999999994,-22281.499999999996,275175.58333333326,0.0,3731696.7499999995,0.12211892225113509,0.08106226493945431,0.03289256091334365,0.011622976936481857,0.008741440850867243,0.010006607113355256,0.0,0.10214536285463742,0.49401812175548027,0.07817406059042273,-0.006142435275687563,0.0745730898152688,0.0
2024-01-28 00:00:00+00:00,2024-02-03 00:00:00+00:00,568698.0833333333,291047.1666666666,123736.58333333331,42366.33333333333,33066.916666666664,39354.166666666664,0.0,379623.75,1268818.5,290157.9166666666,-13632.25,693434.4166666666,0.0,3660584.833333333,0.15736936267170148,0.07858305716469101,0.03383720781409607,0.011616198222142686,0.009059064850658357,0.010781488585595541,0.0,0.104047629950121,0.3460037299304602,0.07877388764019799,-0.003976214683660571,0.1890824122282764,0.0
2024-02-04 00:00:00+00:00,2024-02-10 00:00:00+00:00,531603.1666666666,394677.1666666666,124905.16666666666,39482.25,31612.333333333332,40509.83333333333,0.0,379665.1666666666,1473732.6666666665,314761.3333333333,-5740.166666666666,575845.5833333333,0.0,3844069.1666666665,0.1398597299729727,0.10200901481730125,0.03262911689038774,0.010299510709392671,0.008246128152847842,0.010569027704352986,0.0,0.09908216461952866,0.38283606605094533,0.08189797524029932,-0.0014245928544598,0.14857543985205085,0.0
2024-02-11 00:00:00+00:00,2024-02-17 00:00:00+00:00,761027.1666666666,243720.5833333333,127740.91666666666,42220.666666666664,31517.083333333332,40673.33333333333,0.0,379786.99999999994,1425112.5833333333,306304.3333333333,-3290.75,356590.6666666666,0.0,3653962.6666666665,0.20867146264824665,0.06608850999116335,0.03503136662538757,0.011565002733339885,0.008640790826611972,0.011158931269497144,0.0,0.10411249395565024,0.3898912747937134,0.0834701834397512,-0.001343671271376143,0.0981866276199619,0.0
2024-02-18 00:00:00+00:00,2024-02-24 00:00:00+00:00,680590.5833333333,316593.3333333333,130940.58333333331,42847.08333333333,32616.916666666664,47919.0,0.0,379499.5,1210181.8333333333,421956.5,-8514.25,408693.49999999994,0.0,3599394.25,0.1903208730071419,0.08791446692953846,0.03652678313182266,0.011948073063394784,0.009099363224016586,0.013359658458117901,0.0,0.10581645235667655,0.3336747038801538,0.11735988677005416,-0.0026784086612853426,0.11425917160437286,0.0
2024-02-25 00:00:00+00:00,2024-03-02 00:00:00+00:00,713122.5833333333,475487.6666666666,132509.3333333333,42047.416666666664,32961.5,47347.916666666664,0.0,379300.9166666666,719206.6666666666,475737.5,-3097.166666666667,672348.75,0.0,3594506.333333333,0.1988076507610086,0.13121209125369163,0.036963113958978486,0.011737020830189971,0.009193588622751686,0.013212570237037672,0.0,0.10580003928614247,0.19973122638947674,0.13251588669121914,-0.0007592432301981143,0.18726472959420434,0.0
2024-03-03 00:00:00+00:00,2024-03-09 00:00:00+00:00,740200.9166666666,446395.0833333333,125743.24999999999,39729.0,32166.25,47152.666666666664,0.0,379840.25,1105873.1666666665,450340.5833333333,-27495.166666666664,245111.91666666663,0.0,3552495.583333333,0.2094168361016974,0.12459252852807869,0.035551088490158644,0.011212700735784028,0.009087507896830428,0.013310036639489457,0.0,0.1072168355388231,0.30960180929575226,0.12703820308720346,-0.007986301044160728,0.06998943027939052,0.0
2024-03-10 00:00:00+00:00,2024-03-16 00:00:00+00:00,756871.7499999999,465015.24999999994,127087.08333333331,44733.33333333333,32401.83333333333,47172.416666666664,0.0,378546.5833333333,776542.7499999999,450964.6666666666,-14256.749999999998,399592.74999999994,0.0,3429413.4166666665,0.2209672386883263,0.13291824289589554,0.03721598704470589,0.013086540340373971,0.009483071660126128,0.013802154675990913,0.0,0.11077646142273077,0.22730670778133572,0.13175431622621955,-0.004279951389712385,0.11689462578488188,0.0
2024-03-17 00:00:00+00:00,2024-03-23 00:00:00+00:00,874333.25,393088.6666666666,125674.16666666666,41619.666666666664,30061.166666666664,46033.666666666664,0.0,380760.6666666666,649066.0,462701.9166666666,-29766.0,448887.74999999994,0.0,3398446.9166666665,0.2570494636842645,0.11541118844308092,0.0370823648212237,0.012298564701626958,0.008876633619462714,0.013576165083872143,0.0,0.11230112547159801,0.1912979577858982,0.1364613118922691,-0.009047148261635999,0.1318091499675335,0.0
2024-03-24 00:00:00+00:00,2024-03-30 00:00:00+00:00,795807.6666666666,575308.9166666666,116051.08333333333,46017.5,29847.0,45468.75,0.0,381130.6666666666,544400.4166666666,493113.08333333326,-12067.833333333332,537635.0,0.0,3470952.4166666665,0.22933699645792593,0.16686299722776118,0.033528247861615984,0.013282825262120388,0.008608910634327843,0.013110753628229213,0.0,0.1099596966432216,0.15564838946880868,0.14223869722566065,-0.0036172308396124142,0.15470784497325027,0.0
2024-03-31 00:00:00+00:00,2024-04-06 00:00:00+00:00,856400.0,377050.74999999994,119505.16666666666,44609.5,29937.916666666664,42675.58333333333,0.0,374069.5833333333,641541.0833333333,459979.25,-25128.5,551483.75,0.0,3426687.083333333,0.25079975521746967,0.10941325563333744,0.035040461986935174,0.013080590278939958,0.008755009596876072,0.012519896633514828,0.0,0.10944786854150157,0.1862872472071136,0.13427232522575755,-0.007608523912845571,0.16117477909624742,0.0
2024-04-07 00:00:00+00:00,2024-04-13 00:00:00+00:00,1017161.8333333333,357910.1666666666,122113.25,42377.83333333333,26901.75,42368.58333333333,0.0,191896.5833333333,778955.6666666666,452202.3333333333,-16572.833333333332,421377.5833333333,0.0,3388099.9166666665,0.2988271372376697,0.10731056138446858,0.03612067270526529,0.012553284396383214,0.007955494976808728,0.012522919658442242,0.0,0.05680686438115853,0.22869749468648062,0.13338804901275605,-0.0050563272149556715,0.1255008310306847,0.0
